Date,State,Confirmed,Death,Recovered,Newcases,Newdeaths,Newrecovered
3/2/2020,Telengana,1,0,0,0,0,0
3/3/2020,Telengana,1,0,0,0,0,0
3/4/2020,Telengana,1,0,0,0,0,0
3/5/2020,Telengana,1,0,0,0,0,0
3/6/2020,Telengana,1,0,0,0,0,0
3/7/2020,Telengana,1,0,0,0,0,0
3/8/2020,Telengana,1,0,0,0,0,0
3/9/2020,Telengana,1,0,0,0,0,0
3/10/2020,Telengana,1,0,0,0,0,0
3/11/2020,Telengana,1,0,0,0,0,0
3/12/2020,Telengana,1,0,0,0,0,0
3/13/2020,Telengana,1,0,0,0,0,0
3/14/2020,Telengana,1,0,0,0,0,0
3/15/2020,Telengana,3,0,1,2,0,1
3/16/2020,Telengana,3,0,1,0,0,0
3/17/2020,Telengana,5,0,1,2,0,0
3/18/2020,Telengana,6,0,1,1,0,0
3/19/2020,Telengana,6,0,1,0,0,0
3/20/2020,Telengana,16,0,1,10,0,0
3/21/2020,Telengana,21,0,1,5,0,0
3/22/2020,Telengana,22,0,1,1,0,0
3/23/2020,Telengana,32,0,1,10,0,0
3/24/2020,Telengana,35,0,1,3,0,0
3/25/2020,Telengana,35,0,1,0,0,0
3/26/2020,Telengana,44,0,1,9,0,0
3/27/2020,Telengana,45,0,1,1,0,0
3/28/2020,Telengana,56,0,1,11,0,0
3/29/2020,Telengana,66,1,1,10,1,0
3/30/2020,Telengana,69,1,1,3,0,0
3/31/2020,Telengana,79,1,1,10,0,0
4/1/2020,Telengana,96,3,1,17,2,0
4/2/2020,Telengana,96,3,1,0,0,0
4/3/2020,Telengana,107,3,1,11,0,0
4/4/2020,Telengana,158,7,1,51,4,0
4/5/2020,Telengana,269,7,32,111,0,31
4/6/2020,Telengana,321,7,34,52,0,2
4/7/2020,Telengana,321,7,34,0,0,0
4/8/2020,Telengana,364,7,35,43,0,1
4/9/2020,Telengana,427,7,35,63,0,0
4/10/2020,Telengana,442,7,35,15,0,0
4/11/2020,Telengana,473,7,43,31,0,8
4/12/2020,Telengana,504,9,43,31,2,0
4/13/2020,Telengana,504,9,43,0,0,0
4/14/2020,Telengana,624,17,100,120,8,57
4/15/2020,Telengana,624,17,100,0,0,0
4/16/2020,Telengana,647,18,120,23,1,20
4/17/2020,Telengana,743,18,186,96,0,66
4/18/2020,Telengana,766,18,186,23,0,0
4/19/2020,Telengana,809,18,186,43,0,0
4/20/2020,Telengana,844,18,186,35,0,0
4/21/2020,Telengana,873,23,190,29,5,4
4/22/2020,Telengana,928,23,194,55,0,4
4/23/2020,Telengana,945,23,194,17,0,0
4/24/2020,Telengana,960,24,197,15,1,3
4/25/2020,Telengana,984,26,253,24,2,56
4/26/2020,Telengana,991,26,280,7,0,27
4/27/2020,Telengana,1002,26,280,11,0,0
4/28/2020,Telengana,1004,26,321,2,0,41
4/29/2020,Telengana,1004,26,321,0,0,0
4/30/2020,Telengana,1012,26,367,8,0,46
5/1/2020,Telengana,1038,26,397,26,0,30
5/2/2020,Telengana,1039,26,441,1,0,44
5/3/2020,Telengana,1063,28,458,24,2,17
5/4/2020,Telengana,1082,29,490,19,1,32
5/5/2020,Telengana,1085,29,585,3,0,95
5/6/2020,Telengana,1096,29,585,11,0,0
5/7/2020,Telengana,1107,29,628,11,0,43
5/8/2020,Telengana,1123,29,650,16,0,22
5/9/2020,Telengana,1133,29,700,10,0,50
5/10/2020,Telengana,1163,30,750,30,1,50
5/11/2020,Telengana,1196,30,750,33,0,0
5/12/2020,Telengana,1275,30,800,79,0,50
5/13/2020,Telengana,1326,32,830,51,2,30
5/14/2020,Telengana,1367,34,940,41,2,110
5/15/2020,Telengana,1414,34,950,47,0,10
5/16/2020,Telengana,1454,34,959,40,0,9
5/17/2020,Telengana,1509,34,971,55,0,12
5/18/2020,Telengana,1551,34,992,42,0,21
5/19/2020,Telengana,1597,35,1000,46,1,8
5/20/2020,Telengana,1634,38,1010,37,3,10
5/21/2020,Telengana,1661,40,1015,27,2,5
5/22/2020,Telengana,1699,45,1035,38,5,20
5/23/2020,Telengana,1761,45,1043,62,0,8
5/24/2020,Telengana,1813,49,1065,52,4,22
5/25/2020,Telengana,1854,53,1090,41,4,25
5/26/2020,Telengana,1920,56,1164,66,3,74
5/27/2020,Telengana,1991,57,1284,71,1,120
5/28/2020,Telengana,2098,63,1284,107,6,0
5/29/2020,Telengana,2256,67,1345,158,4,61
5/30/2020,Telengana,2425,71,1381,169,4,36
5/31/2020,Telengana,2499,77,1412,74,6,31
6/1/2020,Telengana,2698,82,1428,199,5,16
6/2/2020,Telengana,2792,88,1491,94,6,63
6/3/2020,Telengana,2891,92,1526,99,4,35
6/4/2020,Telengana,3020,99,1556,129,7,30
6/5/2020,Telengana,3147,105,1587,127,6,31
6/6/2020,Telengana,3290,113,1627,143,8,40
6/7/2020,Telengana,3496,123,1710,206,10,83
6/8/2020,Telengana,3650,137,1710,154,14,0
6/9/2020,Telengana,3650,137,1710,0,0,0
6/10/2020,Telengana,3920,148,1809,270,11,99
6/11/2020,Telengana,4111,156,1817,191,8,8
