State,Confirmed,Recovered,Deaths,Active,Migrated_Other
Total,1639350,1059093,35786,544048,423
Maharashtra,411798,248615,14729,148150,304
Tamil Nadu,239978,178178,3841,57959,0
Delhi,134403,119724,3936,10743,0
Karnataka,118632,46694,2230,69699,9
Andhra Pradesh,130557,60024,1281,69252,0
Uttar Pradesh,81039,46803,1587,32649,0
Gujarat,60285,44176,2414,13695,0
West Bengal,67692,46256,1536,19900,0
Telangana,60717,44572,505,15640,0
Rajasthan,40936,29231,667,11038,0
Bihar,48001,31673,285,16042,1
Haryana,34254,27340,417,6497,0
Assam,38408,29081,94,9230,3
Madhya Pradesh,30968,21657,857,8454,0
Odisha,30378,19746,205,10427,0
Jammu and Kashmir,19869,11842,365,7662,0
Kerala,22304,12159,71,10056,18
Punjab,15456,10509,370,4577,0
Jharkhand,10399,4176,103,6120,0
Chhattisgarh,8856,5921,51,2884,0
Uttarakhand,7065,3996,76,2955,38
Goa,5704,4005,42,1657,0
Tripura,4503,2962,21,1502,18
Puducherry,3298,1958,48,1292,0
Manipur,2505,1672,4,829,0
Himachal Pradesh,2506,1387,13,1089,17
Ladakh,1378,1094,6,278,0
Nagaland,1566,625,4,935,2
Arunachal Pradesh,1484,827,3,654,0
Chandigarh,1016,647,14,355,0
Dadra and Nagar Haveli and Daman and Diu,1103,684,2,406,11
Meghalaya,803,210,5,588,0
Sikkim,610,214,1,395,0
Mizoram,409,234,0,174,1
Andaman and Nicobar Islands,470,201,3,265,1
State Unassigned,0,0,0,0,0
Lakshadweep,0,0,0,0,0
